data_year,State,id,Total_Shootings
1998,WV,732,0
1998,WV,733,27
1998,WV,734,1
1998,WV,735,0
1998,VA,736,2
1998,ID,737,0
1998,ID,738,0
1998,ID,739,0
1998,ID,740,85
1998,ID,741,6
1998,ID,742,0
1998,ID,743,15
1998,ID,744,7
1998,WV,745,70
1998,VA,746,1
1998,SC,747,0
1998,VT,748,30
1998,ND,749,0
1998,ND,750,0
1998,ND,751,24
1998,OH,752,130
1998,OH,753,0
1998,OH,754,1
1998,ND,755,0
1998,OH,756,19
1998,OH,757,0
1998,OH,758,10
1998,OH,759,369
1998,OH,760,0
1998,OH,761,0
1998,OH,762,80
1998,OH,763,5
1998,TX,764,416
1998,ND,765,11
1998,ND,766,1
1998,NE,767,2
1998,NE,768,1
1998,NE,769,0
1998,NE,770,17
1998,NE,771,0
1998,NE,772,0
1998,ND,773,0
1998,NE,774,0
1998,CT,775,0
1998,ND,776,6
1998,ND,777,0
1998,ND,778,0
1998,ND,779,1
1998,ND,780,3
1998,NE,781,94
1998,TX,782,8
1998,TX,783,0
1998,TX,784,0
1998,TN,785,1
1998,TN,786,1
1998,TN,787,989
1998,SC,788,1092
1998,SC,789,5064
1998,SC,790,0
1998,TN,791,3
1998,SC,792,5
1998,SC,793,231
1998,SC,794,202
1998,SC,795,5
1998,SC,796,44
1998,SC,797,2677
1998,SC,798,4
1998,SC,799,1
1998,TN,800,17
1998,TN,801,52
1998,TN,802,2
1998,TX,803,407
1998,TX,804,8
1998,TX,805,1
1998,TX,806,17
1998,TX,807,18
1998,TX,808,2
1998,TX,809,2
1998,TX,810,1
1998,TX,811,534
1998,TN,812,689
1998,TN,813,0
1998,TN,814,0
1998,TN,815,1
1998,TN,816,229
1998,TN,817,5
1998,NE,818,1
1998,NE,819,0
1998,NE,820,12
1998,MN,821,0
1998,UT,822,12
1998,UT,823,2
1998,UT,824,1
1998,IA,825,449
1998,IA,826,0
1998,IA,827,2
1998,UT,828,14
1998,IA,829,15
1998,IA,830,3
1998,IA,831,5
1998,IA,832,276
1998,IA,833,0
1998,IA,834,0
1998,IA,835,0
1998,IA,836,26
1998,UT,837,0
1998,UT,838,1
1998,UT,839,147
1998,VT,840,0
1998,VT,841,0
1998,VT,842,0
1998,VT,843,7
1998,VT,844,1
1998,VT,845,0
1998,VT,846,1
1998,VT,847,5
1998,VT,848,0
1998,VT,849,0
1998,VT,850,31
1998,UT,851,787
1998,UT,852,3
1998,UT,853,0
1998,UT,854,1
1998,IA,855,637
1998,IL,856,0
1998,KY,857,5
1998,KY,858,0
1998,MA,859,351
1998,MI,860,1982
1998,MI,861,0
1998,MI,862,4
1998,MI,863,5
1998,MI,864,46
1998,MA,865,0
1998,MI,866,79
1998,MI,867,30
1998,MI,868,1156
1998,MI,869,2
1998,MI,870,0
1998,MI,871,8
1998,MI,872,2442
1998,MI,873,4
1998,MA,874,0
1998,MA,875,0
1998,MA,876,288
1998,KY,877,2
1998,KY,878,0
1998,KY,879,12
1998,KY,880,0
1998,KY,881,0
1998,KY,882,15
1998,UT,883,250
1998,SC,884,13
1998,MA,885,411
1998,MA,886,0
1998,MA,887,0
1998,MA,888,13
1998,MA,889,14
1998,MA,890,0
1998,MA,891,5
1998,KY,892,0
1998,CT,893,5
1998,NE,894,0
1998,CO,895,702
1998,CO,896,0
1998,CO,897,0
1998,CO,898,0
1998,CO,899,1250
1998,CO,900,17
1998,CO,901,0
1998,CO,902,29
1998,CO,903,60
1998,CO,904,1
1998,CO,905,1
1998,CO,906,779
1998,CO,907,2
1999,CT,908,0
1999,IL,909,1
1999,IL,910,1
1999,ID,911,1
1999,ID,912,66
1999,ID,913,4
1999,ID,914,2
1999,CO,915,693
1999,CO,916,3
1999,CO,917,2
1999,CO,918,3
1999,CO,919,50
1999,CO,920,44
1999,TN,921,1480
1999,TN,922,0
1999,TN,923,0
1999,IL,924,0
1999,TN,925,0
1999,IL,926,0
1999,VA,927,1031
1999,VA,928,34
1999,VA,929,1
1999,VA,930,125
1999,VA,931,197
1999,SC,932,4699
1999,SC,933,0
1999,SC,934,4
1999,SC,935,192
1999,SC,936,194
1999,SC,937,4
1999,SC,938,41
1999,SC,939,2776
1999,VA,940,2
1999,VA,941,2
1999,VA,942,2
1999,IL,943,1
1999,TN,944,596
1999,TN,945,28
1999,TN,946,6
1999,CO,947,623
1999,CO,948,0
1999,CO,949,0
1999,CO,950,0
1999,CO,951,1117
1999,CT,952,98
1999,CT,953,0
1999,CT,954,0
1999,CT,955,0
1999,CT,956,48
1999,CT,957,2
1999,CT,958,0
1999,CT,959,2
1999,CT,960,6
1999,CT,961,1
1999,CO,962,14
1999,CO,963,1
1999,SC,964,1089
1999,SC,965,8
1999,ID,966,15
1999,ID,967,12
1999,ID,968,1
1999,ID,969,3
1999,VA,970,1493
1999,ID,971,1
1999,ID,972,382
1999,CT,973,0
1999,CT,974,17
1999,TN,975,61
1999,TN,976,11
1999,TN,977,3
1999,TN,978,0
1999,TN,979,2357
1999,SC,980,1
1999,SC,981,0
1999,TN,982,76
1999,VA,983,2
1999,UT,984,0
1999,VA,985,9
1999,ND,986,1
1999,MA,987,374
1999,MA,988,0
1999,MA,989,0
1999,MA,990,0
1999,MA,991,325
1999,MA,992,8
1999,ND,993,2
1999,MA,994,0
1999,MA,995,23
1999,MA,996,1
1999,MA,997,1
1999,MA,998,395
1999,ND,999,1
1999,ND,1000,13
1999,ND,1001,1
1999,MA,1002,20
1999,ND,1003,0
1999,ND,1004,0
1999,ND,1005,0
1999,MI,1006,35
1999,IA,1007,500
1999,IA,1008,1
1999,MN,1009,0
1999,IA,1010,0
1999,IA,1011,0
1999,IA,1012,255
1999,IA,1013,7
1999,IA,1014,0
1999,IA,1015,23
1999,IA,1016,6
1999,IA,1017,3
1999,IA,1018,1
1999,IA,1019,0
1999,IA,1020,401
1999,AR,1021,1
1999,ND,1022,8
1999,ND,1023,0
1999,ND,1024,0
1999,ND,1025,38
1999,UT,1026,237
1999,TX,1027,1
1999,TX,1028,490
1999,WV,1029,768
1999,WV,1030,0
1999,WV,1031,1
1999,WV,1032,18
1999,WV,1033,48
1999,WV,1034,1
1999,WV,1035,3
1999,WV,1036,149
1999,WV,1037,2
1999,WV,1038,0
1999,WV,1039,0
1999,WV,1040,554
1999,ID,1041,0
1999,UT,1042,758
1999,VA,1043,4293
1999,TX,1044,1
1999,VA,1045,0
1999,TX,1046,2
1999,TX,1047,19
1999,UT,1048,0
1999,UT,1049,2
1999,UT,1050,1
1999,UT,1051,11
1999,UT,1052,12
1999,UT,1053,0
1999,UT,1054,2
1999,UT,1055,130
1999,UT,1056,1
1999,UT,1057,0
1999,TX,1058,435
1999,TX,1059,6
1999,TX,1060,0
1999,TX,1061,0
1999,TX,1062,420
1999,TX,1063,8
1999,TX,1064,0
1999,TX,1065,20
1999,ID,1066,0
1999,MI,1067,0
1999,NE,1068,0
1999,NE,1069,1
1999,OH,1070,185
1999,NE,1071,2
1999,OH,1072,0
1999,OH,1073,548
1999,VT,1074,31
1999,VT,1075,0
1999,VT,1076,30
1999,VT,1077,0
1999,VT,1078,0
1999,VT,1079,0
1999,VT,1080,16
1999,VT,1081,0
1999,NE,1082,16
1999,VT,1083,0
1999,MI,1084,2279
1999,VT,1085,1
1999,VT,1086,5
1999,NE,1087,1
1999,OH,1088,8
1999,OH,1089,25
1999,OH,1090,16
1999,OH,1091,0
1999,NE,1092,0
1999,NE,1093,10
1999,MI,1094,2
1999,MI,1095,3
1999,MI,1096,1707
1999,VT,1097,0
1999,OH,1098,0
1999,NE,1099,0
1999,MI,1100,0
1999,MI,1101,83
1999,ID,1102,508
1999,KY,1103,32
1999,KY,1104,0
1999,KY,1105,0
1999,MI,1106,7
1999,KY,1107,1
1999,KY,1108,0
1999,KY,1109,0
1999,KY,1110,12
1999,KY,1111,0
1999,OH,1112,134
1999,KY,1113,0
1999,MI,1114,2
1999,MI,1115,1099
1999,NE,1116,0
1999,MI,1117,19
1999,KY,1118,0
1999,MI,1119,2
1999,OH,1120,0
1999,KY,1121,7
1999,NE,1122,68
1999,NE,1123,1
1999,OH,1124,0
2000,TX,1125,496
2000,TX,1126,0
2000,TX,1127,0
2000,TX,1128,19
2000,TX,1129,2
2000,TX,1130,11
2000,NE,1131,59
2000,TX,1132,440
2000,TX,1133,10
2000,TX,1134,0
2000,TX,1135,28
2000,TX,1136,4
2000,WV,1137,5
2000,KS,1138,0
2000,UT,1139,1
2000,UT,1140,3
2000,UT,1141,16
2000,UT,1142,10
2000,UT,1143,1
2000,UT,1144,1
2000,UT,1145,115
2000,UT,1146,1
2000,UT,1147,0
2000,UT,1148,1
2000,UT,1149,757
2000,KS,1150,153
2000,KS,1151,0
2000,KS,1152,2
2000,KS,1153,461
2000,UT,1154,188
2000,WV,1155,567
2000,WV,1156,1
2000,WV,1157,0
2000,KS,1158,1
2000,KS,1159,1
2000,KS,1160,31
2000,KS,1161,25
2000,KS,1162,0
2000,KS,1163,3
2000,WV,1164,765
2000,KS,1165,475
2000,WV,1166,0
2000,TX,1167,3
2000,WV,1168,21
2000,WV,1169,35
2000,WV,1170,2
2000,WV,1171,10
2000,WV,1172,234
2000,WV,1173,2
2000,WV,1174,2
2000,TX,1175,500
2000,ID,1176,442
2000,NE,1177,0
2000,AR,1178,14
2000,AR,1179,0
2000,AR,1180,0
2000,AR,1181,1
2000,AR,1182,0
2000,AR,1183,0
2000,AR,1184,0
2000,SD,1185,0
2000,AR,1186,5
2000,SD,1187,17
2000,MI,1188,2521
2000,MI,1189,3
2000,MI,1190,11
2000,MI,1191,8
2000,MA,1192,492
2000,MA,1193,1
2000,SD,1194,0
2000,MA,1195,0
2000,SD,1196,0
2000,SD,1197,0
2000,IA,1198,0
2000,IA,1199,0
2000,IA,1200,501
2000,IA,1201,5
2000,IA,1202,0
2000,IA,1203,18
2000,IA,1204,12
2000,SD,1205,0
2000,IA,1206,1
2000,IA,1207,0
2000,IA,1208,383
2000,MN,1209,0
2000,SD,1210,17
2000,SD,1211,0
2000,SD,1212,0
2000,SD,1213,1
2000,IA,1214,0
2000,MA,1215,0
2000,MA,1216,359
2000,MA,1217,4
2000,ND,1218,0
2000,ND,1219,21
2000,ND,1220,0
2000,ND,1221,0
2000,ND,1222,0
2000,ND,1223,52
2000,VA,1224,6200
2000,ND,1225,0
2000,NE,1226,12
2000,NE,1227,0
2000,NE,1228,3
2000,NE,1229,3
2000,NE,1230,1
2000,NE,1231,0
2000,NE,1232,13
2000,NE,1233,0
2000,NE,1234,0
2000,ND,1235,0
2000,ND,1236,0
2000,ND,1237,0
2000,MA,1238,1
2000,MA,1239,14
2000,MA,1240,26
2000,MA,1241,0
2000,MA,1242,1
2000,MA,1243,416
2000,MI,1244,47
2000,MI,1245,110
2000,MI,1246,1
2000,MI,1247,25
2000,MI,1248,1558
2000,MI,1249,2
2000,MI,1250,0
2000,MI,1251,8
2000,MI,1252,2649
2000,ND,1253,4
2000,ND,1254,0
2000,NE,1255,0
2000,VA,1256,18
2000,IA,1257,289
2000,VA,1258,5
2000,TN,1259,2996
2000,OH,1260,11
2000,OH,1261,24
2000,OH,1262,1
2000,OH,1263,0
2000,OH,1264,164
2000,IA,1265,0
2000,IL,1266,2
2000,IL,1267,0
2000,IL,1268,0
2000,IL,1269,0
2000,KY,1270,0
2000,CO,1271,667
2000,CO,1272,5
2000,CO,1273,1
2000,CO,1274,5
2000,CO,1275,51
2000,CO,1276,31
2000,CO,1277,4
2000,CO,1278,22
2000,OH,1279,8
2000,OH,1280,693
2000,OH,1281,0
2000,OH,1282,0
2000,OH,1283,0
2000,OH,1284,154
2000,CO,1285,528
2000,CO,1286,0
2000,ID,1287,626
2000,TN,1288,17
2000,TN,1289,0
2000,TN,1290,2
2000,TN,1291,3470
2000,ID,1292,0
2000,SC,1293,4556
2000,SC,1294,0
2000,SC,1295,4
2000,SC,1296,1
2000,SC,1297,243
2000,SC,1298,186
2000,SC,1299,0
2000,SC,1300,55
2000,SC,1301,3189
2000,SC,1302,1
2000,SC,1303,0
2000,SC,1304,9
2000,SC,1305,1086
2000,CO,1306,0
2000,ID,1307,2
2000,KY,1308,45
2000,KY,1309,0
2000,VA,1310,0
2000,KY,1311,0
2000,KY,1312,22
2000,OH,1313,1
2000,TN,1314,5416
2000,TN,1315,1
2000,TN,1316,9
2000,TN,1317,7
2000,TN,1318,156
2000,TN,1319,194
2000,TN,1320,12
2000,TN,1321,74
2000,ID,1322,63
2000,CO,1323,1028
2000,CO,1324,0
2000,VA,1325,1582
2000,CT,1326,3
2000,CT,1327,0
2000,VA,1328,0
2000,VA,1329,7
2000,CT,1330,13
2000,CT,1331,11
2000,CT,1332,0
2000,CT,1333,1
2000,CT,1334,0
2000,CT,1335,108
2000,KY,1336,0
2000,VA,1337,5
2000,KY,1338,5
2000,VT,1339,22
2000,VA,1340,280
2000,VA,1341,7
2000,VA,1342,50
2000,KY,1343,1
2000,KY,1344,0
2000,KY,1345,35
2000,ID,1346,7
2000,ID,1347,1
2000,ID,1348,11
2000,ID,1349,13
2000,ID,1350,1
2000,ID,1351,1
2000,ID,1352,0
