latestAction,number,originChamber,title,type,updateDate,updateDateIncludingText
"{'actionDate': '2018-08-02', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",127,House,Condemning gun violence and its impact on youth by supporting the enactment of legislation to prevent future school and neighborhood shootings.,HCONRES,2023-01-11,2023-01-11T13:42:25Z
"{'actionDate': '2018-07-31', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",3304,Senate,3D Printed Gun Safety Act of 2018,S,2023-01-11,2023-01-11T13:41:46Z
"{'actionDate': '2018-07-30', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6075,House,Keeping Gun Dealers Honest Act of 2018,HR,2023-01-11,2023-01-11T13:42:22Z
"{'actionDate': '2018-07-24', 'text': 'Referred to the Subcommittee on Immigration and Border Security.'}",920,House,"Expressing support for the designation of June as National Gun Violence Awareness Month, and calling on Congress to address gun violence.",HRES,2023-01-11,2023-01-11T13:42:15Z
"{'actionDate': '2018-07-12', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",3211,Senate,Keeping Gun Dealers Honest Act of 2018,S,2023-01-11,2023-01-11T13:41:49Z
"{'actionDate': '2018-06-26', 'text': 'Read twice and referred to the Committee on Homeland Security and Governmental Affairs.'}",3135,Senate,Gun Owner Registration Information Protection Act,S,2023-01-11,2023-01-11T13:42:07Z
"{'actionDate': '2018-06-21', 'text': 'Referred to the House Committee on Energy and Commerce.'}",125,House,Expressing support for the designation of June 21 as National ASK (Asking Saves Kids) Day to promote children's health and safe storage of guns in the home.,HCONRES,2023-01-11,2023-01-11T13:42:25Z
"{'actionDate': '2018-06-05', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",913,House,"Expressing support for the goals and ideals of June 1 through June 3, 2018 as ""National Gun Violence Awareness Weekend"" and June 2018 as ""National Gun Violence Awareness Month"".",HRES,2023-01-11,2023-01-11T13:42:33Z
"{'actionDate': '2018-06-05', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5941,House,Child Gun Access Prevention Act,HR,2023-01-11,2023-01-11T13:39:26Z
"{'actionDate': '2018-05-24', 'text': 'Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S2935-2936)'}",2974,Senate,Crime Gun Tracing Modernization Act,S,2023-01-11,2023-01-11T13:42:27Z
"{'actionDate': '2018-05-24', 'text': 'Referred to the Committee on the Judiciary. (text of measure as introduced: CR S2937-2938)'}",524,Senate,"A resolution expressing support for the designation of June 1 through June 3, 2018 as ""National Gun Violence Awareness Weekend"" and June 2018 as ""National Gun Violence Awareness Month"".",SRES,2023-01-11,2023-01-11T13:42:26Z
