enddate,samplesize,results,favorability_r,favorability_d
10/25/2016,2120.0,1,-7.791119999999999,-4.724119999999999
10/25/2016,1221.0,1,-7.733370000000001,-5.349200000000003
10/25/2016,1221.0,1,-7.733370000000001,-5.444920000000003
10/25/2016,1221.0,1,-7.733370000000001,-5.335900000000002
10/31/2016,1018.0,1,-6.439830000000001,-3.781660000000002
10/31/2016,1018.0,1,-6.439830000000001,-3.74362
10/31/2016,1018.0,1,-6.439830000000001,-3.6837500000000034
10/27/2016,1158.0,1,-12.750520000000002,-8.774239999999999
10/27/2016,1158.0,1,-12.750520000000002,-8.87923
10/27/2016,1158.0,1,-12.750520000000002,-8.79739
10/31/2016,2600.0,1,-8.3046,-7.780169999999998
10/31/2016,2600.0,1,-8.3046,-7.742629999999998
10/31/2016,2600.0,1,-8.3046,-7.773049999999998
10/31/2016,3145.0,1,-6.15155,-5.467829999999999
10/31/2016,3145.0,1,-6.15155,-5.523919999999997
10/31/2016,3145.0,1,-6.15155,-5.436570000000003
10/30/2016,1772.0,1,-9.650280000000002,-6.684489999999997
10/30/2016,1772.0,1,-9.650280000000002,-6.685879999999997
10/30/2016,1772.0,1,-9.650280000000002,-6.705829999999999
10/24/2016,1212.0,1,-10.661740000000002,0.1828300000000027
10/24/2016,1212.0,1,-10.661740000000002,-0.4491999999999976
10/24/2016,1212.0,1,-10.661740000000002,-0.0530600000000021
10/17/2016,1000.0,1,-10.004289999999996,-3.1558300000000017
10/17/2016,1000.0,1,-10.004289999999996,-3.223619999999997
10/17/2016,1000.0,1,-10.004289999999996,-3.1706300000000027
10/26/2016,1209.0,1,-8.443629999999999,-4.363979999999998
10/26/2016,1209.0,1,-8.443629999999999,-4.602069999999998
10/26/2016,1209.0,1,-8.443629999999999,-4.434919999999998
10/26/2016,1824.0,1,-4.966299999999997,-4.213979999999999
10/26/2016,1824.0,1,-4.966299999999997,-4.264400000000002
10/26/2016,1824.0,1,-4.966299999999997,-4.205469999999998
10/31/2016,1500.0,1,-5.819600000000001,-5.496369999999999
10/31/2016,1500.0,1,-5.819600000000001,-5.434730000000002
10/31/2016,1500.0,1,-5.819600000000001,-5.477119999999999
10/30/2016,40816.0,1,-9.58191,-4.33511
10/30/2016,40816.0,1,-9.58191,-4.490169999999999
10/30/2016,40816.0,1,-9.58191,-4.459479999999999
10/30/2016,1299.0,1,-5.860219999999998,-3.6117199999999983
10/30/2016,1299.0,1,-5.860219999999998,-3.657530000000001
10/30/2016,1299.0,1,-5.860219999999998,-3.5987300000000038
10/18/2016,1007.0,1,-8.84167,-2.795569999999998
