end_date,samplesize,results,favorability_r,favorability_d
2023-03-31,1089.0,0,-16.333800000000004,-17.000700000000002
2023-03-31,719.0,0,-19.3339,-19.000600000000002
2023-03-31,719.0,0,-19.3339,-17.000700000000002
2023-03-29,1007.0,0,-35.3341,-24.334
2023-03-28,1500.0,0,-18.6672,-20.0006
2023-03-28,1500.0,0,-18.6672,-17.6672
2023-03-28,1310.0,0,-21.0006,-20.0006
2023-03-28,1310.0,0,-21.0006,-17.6672
2023-03-27,2550.0,0,-9.00045,-7.467040000000001
2023-03-27,2550.0,0,-9.00045,-12.667300000000001
2023-03-27,2550.0,0,-9.00045,-23.667299999999997
2023-03-27,1600.0,0,-14.6674,-7.467040000000001
2023-03-27,1600.0,0,-14.6674,-12.667300000000001
2023-03-27,1600.0,0,-14.6674,-23.667299999999997
2023-03-27,1000.0,0,-35.334199999999996,-7.467040000000001
2023-03-27,1000.0,0,-35.334199999999996,-12.667300000000001
2023-03-27,1000.0,0,-35.334199999999996,-23.667299999999997
2023-03-23,2905.0,0,-7.333599999999997,-18.000500000000002
2023-03-23,2905.0,0,-7.333599999999997,-3.333500000000001
2023-03-23,1327.0,0,-8.000400000000003,-18.000500000000002
2023-03-23,1327.0,0,-8.000400000000003,-3.333500000000001
2023-03-23,1226.0,0,-8.000399999999999,-18.000500000000002
2023-03-23,1226.0,0,-8.000399999999999,-3.333500000000001
2023-03-23,5046.0,0,-20.6677,-18.000500000000002
2023-03-23,5046.0,0,-20.6677,-3.333500000000001
2023-03-22,1004.0,0,-18.0009,-14.667399999999997
2023-03-22,1004.0,0,-18.0009,-10.000500000000002
2023-03-22,863.0,0,-19.3343,-14.667399999999997
2023-03-22,863.0,0,-19.3343,-10.000500000000002
2023-03-21,1500.0,0,-24.667299999999997,-16.667200000000005
2023-03-21,1500.0,0,-24.667299999999997,-13.667200000000005
2023-03-21,1500.0,0,-24.667299999999997,-2.333449999999999
2023-03-21,1341.0,0,-26.667300000000004,-16.667200000000005
2023-03-21,1341.0,0,-26.667300000000004,-13.667200000000005
2023-03-21,1341.0,0,-26.667300000000004,-2.333449999999999
2023-03-21,2000.0,0,-12.267280000000003,-16.667200000000005
2023-03-21,2000.0,0,-12.267280000000003,-13.667200000000005
2023-03-21,2000.0,0,-12.267280000000003,-2.333449999999999
2023-03-19,1004.0,0,-36.667500000000004,-21.6674
2023-03-19,1004.0,0,-36.667500000000004,-22.6674
2023-03-19,788.0,0,-34.6675,-21.6674
2023-03-19,788.0,0,-34.6675,-22.6674
2023-03-14,1500.0,0,-18.6672,-12.333800000000004
2023-03-14,1500.0,0,-18.6672,-14.333800000000004
2023-03-14,1307.0,0,-20.6673,-12.333800000000004
2023-03-14,1307.0,0,-20.6673,-14.333800000000004
2023-03-13,1635.0,0,-14.6674,-9.333799999999997
2023-03-13,1635.0,0,-14.6674,-24.667399999999997
2023-03-13,1635.0,0,-14.6674,-26.000699999999995
2023-03-13,1017.0,0,5.999899999999997,-9.333799999999997
2023-03-13,1017.0,0,5.999899999999997,-24.667399999999997
2023-03-13,1017.0,0,5.999899999999997,-26.000699999999995
2023-03-13,1000.0,0,-28.667399999999997,-9.333799999999997
2023-03-13,1000.0,0,-28.667399999999997,-24.667399999999997
2023-03-13,1000.0,0,-28.667399999999997,-26.000699999999995
2023-03-13,1000.0,0,-36.6676,-9.333799999999997
2023-03-13,1000.0,0,-36.6676,-24.667399999999997
2023-03-13,1000.0,0,-36.6676,-26.000699999999995
2023-03-09,1250.0,0,-33.300819999999995,-25.834
2023-03-07,1500.0,0,-24.6674,-19.6672
2023-03-07,1500.0,0,-24.6674,-21.0006
2023-03-07,1306.0,0,-32.0008,-19.6672
2023-03-07,1306.0,0,-32.0008,-21.0006
2023-03-05,2003.0,0,-29.334099999999996,-11.000399999999999
2023-03-05,2003.0,0,-29.334099999999996,-23.334
2023-03-05,2003.0,0,-29.334099999999996,-13.000499999999999
2023-03-05,2003.0,0,-29.334099999999996,-8.3337
2023-03-05,2003.0,0,-29.334099999999996,-13.000499999999999
2023-03-03,1000.0,0,-12.000600000000002,-6.666999999999998
2023-02-28,1500.0,0,-29.667399999999994,-14.333899999999996
2023-02-28,1500.0,0,-29.667399999999994,-16.000600000000002
