Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1206476,9-Sep-18,Florida,Jacksonville,N/A,0,4,0,0,0,N/A
1206050,7-Sep-18,Minnesota,Minneapolis,2024 N Washington Ave,1,3,0,0,1,N/A
1204538,6-Sep-18,Ohio,Cincinnati,511 Walnut St,3,2,1,0,0,N/A
1204486,4-Sep-18,Georgia,Albany,1200 block of Gillespie Ave,0,4,0,0,1,N/A
1202134,2-Sep-18,Texas,San Antonio,600 block of Morningview St,0,4,0,0,0,N/A
1202274,2-Sep-18,New Jersey,Paterson,43 12th Ave,2,2,0,0,0,N/A
1202318,2-Sep-18,Alabama,Birmingham,500 23rd St S,0,6,0,1,0,N/A
1201885,2-Sep-18,Arkansas,Fort Smith,801 Garrison Ave,0,4,0,0,0,N/A
1202332,2-Sep-18,California,San Bernardino,1277 East Lynwood Drive,0,8,0,0,0,N/A
1202437,2-Sep-18,New Jersey,Trenton,Stuyvesant Ave and Bryn Mawr Ave,0,4,0,0,0,N/A
1201973,1-Sep-18,Florida,Fort Lauderdale (Lauderhill),5225 NW 24th Ct,1,3,0,0,0,N/A
1201135,1-Sep-18,Ohio,Cleveland,3232 Lakeside Ave East,1,7,0,0,0,N/A
1200904,31-Aug-18,Colorado,Aurora,1900 block of Peoria St,2,2,0,1,1,N/A
1197278,27-Aug-18,Arkansas,Pine Bluff,2600 block of W 34th Ave,1,3,0,0,0,N/A
1196028,26-Aug-18,Florida,Jacksonville,2 Independent Dr,2,9,1,0,0,N/A
1195537,25-Aug-18,Virginia,Richmond,4 N 18th St,0,5,0,0,0,N/A
1196051,25-Aug-18,Tennessee,Nashville,1564 9th Ave N,1,4,0,0,0,N/A
1194315,23-Aug-18,Pennsylvania,Philadelphia,5800 block of Oakland St,0,4,0,0,0,N/A
1194598,23-Aug-18,Maryland,Baltimore,1700 block of Homestead St,0,4,0,0,0,N/A
1194057,22-Aug-18,Missouri,Saint Louis,I-64 and Jefferson Ave,0,4,0,0,0,N/A
1192788,21-Aug-18,Tennessee,Memphis,2119 E Alcy Rd,0,4,0,0,1,N/A
1191368,20-Aug-18,Tennessee,Jackson,60 Heritage Square,1,4,0,0,0,N/A
1192036,20-Aug-18,Ohio,Cleveland,E 94th St and Kinsman Rd,1,3,0,0,0,N/A
1191279,19-Aug-18,Illinois,Chicago,7400 block of S Dante Ave,0,5,0,0,0,N/A
1190035,18-Aug-18,New York,Bronx,925 Allerton Ave,0,4,0,0,1,N/A
1189717,17-Aug-18,Illinois,Chicago,1600 block of W 65th St,0,7,0,0,0,N/A
1188597,15-Aug-18,South Carolina,Greenwood,104 Mimosa Ct,0,5,0,0,0,N/A
1186888,14-Aug-18,Pennsylvania,Wyncote,1000 S Easton Rd,0,5,0,0,1,N/A
1185622,12-Aug-18,Pennsylvania,Pittsburgh,5600 block of Broad St,0,4,0,0,1,N/A
1185520,12-Aug-18,California,Clearlake,4786 Yarrington Ct,3,1,1,0,0,N/A
1186061,11-Aug-18,California,San Francisco,Geneva St and Mission St,1,4,0,0,0,N/A
1184607,11-Aug-18,Colorado,Thornton,4050 E 100th Ave,1,3,0,0,1,N/A
1185040,11-Aug-18,Ohio,Columbus,1280 Summit St,0,3,0,1,2,N/A
1184992,10-Aug-18,Missouri,Saint Louis,1515 N 13th St,0,4,0,0,1,N/A
1184206,10-Aug-18,Michigan,Detroit,6300 block of Vinewood St,0,4,0,0,1,N/A
1182893,8-Aug-18,New Jersey,Paterson,Mercer St and Franklin St,0,4,0,0,0,N/A
1182717,8-Aug-18,Pennsylvania,Philadelphia,North 12th Street and West Huntingdon Street,2,4,0,0,0,N/A
1179935,5-Aug-18,Illinois,Chicago,50 block of N Leclaire Ave,1,4,0,0,0,N/A
1179619,5-Aug-18,Illinois,Chicago,1300 block of S Millard Ave,1,5,0,0,0,N/A
1179607,5-Aug-18,Illinois,Chicago,1300 block of W 76th St,0,8,0,0,0,N/A
1179677,5-Aug-18,Illinois,Chicago,900 block of S Karlov Ave,0,4,0,0,0,N/A
1179644,5-Aug-18,Illinois,Chicago,1600 block of S Avers Ave,0,4,0,0,0,N/A
1179810,4-Aug-18,Nevada,Las Vegas,3400 block of Coran Ln,0,6,0,0,0,N/A
1180161,4-Aug-18,Missouri,Kansas City,E 18th St and Highland Ave,0,6,0,0,1,N/A
1179805,4-Aug-18,Illinois,Chicago,1600 block of N Leclaire Ave,1,3,0,0,0,N/A
1179589,4-Aug-18,Wisconsin,Milwaukee,40th St and Vliet St,0,4,0,0,0,N/A
1176169,31-Jul-18,California,Gardena,1212 West 135th Street,2,3,0,0,1,N/A
1177024,30-Jul-18,Georgia,Savannah,12328 Largo Dr,0,4,0,0,0,N/A
1175571,30-Jul-18,Illinois,Chicago,1200 block of S Avers Ave,0,4,0,0,0,N/A
1174423,29-Jul-18,Pennsylvania,York,100 block of E Maple St,0,4,0,0,0,N/A
1174960,29-Jul-18,Arizona,Phoenix,2501 E Van Buren St,1,4,0,0,0,N/A
1174990,29-Jul-18,Michigan,Lansing,Spring and River Street,0,4,0,0,0,N/A
1174190,28-Jul-18,Louisiana,New Orleans,3400 S Claiborne Ave,3,7,0,0,1,N/A
1174527,28-Jul-18,California,Los Angeles,8801 S Vermont Ave,2,4,0,0,0,N/A
